PolicyMode,SafetyMode,RunCount,SuccessRate,CollisionRate,MeanMinimumSeparation,MeanPathLength,MeanControlEffort,MeanInterventionRate,MeanStaleFraction
0,0,10,0,1,-0.115596511840816,9.99967311512894,8.49817881150263,0.393011647254576,0.0988352745424293
0,1,10,0,0.4,0.0302161922060975,11.3856416452289,23.9657923731546,0.523793677204659,0.0986688851913477
1,0,10,0.1,0.2,0.0835322418994629,15.431690233925,24.708225258447,0.439600665557404,0.0995008319467554
1,1,10,0,0,0.120520854946839,14.5889794710374,24.62578139475,0.393677204658902,0.0990016638935108
