PolicyMode,SafetyMode,RunCount,SuccessRate,CollisionRate,MeanMinimumSeparation,MeanPathLength,MeanControlEffort,MeanInterventionRate,MeanStaleFraction
0,0,8,0,1,-0.0962063358795865,9.99967311512894,8.49817881150263,0.409525790349418,0.0987936772046589
0,1,8,0,0.5,0.037649366776322,11.0517744123889,22.6797526482356,0.415557404326123,0.098585690515807
1,0,9,0.111111111111111,0.222222222222222,0.0927598805632699,15.268782665759,24.8128934448117,0.458125346644481,0.105010168238122
1,1,9,0,0,0.133858339504799,14.5485971567852,24.7808968835525,0.333148456276576,0.10445553706785
