Name,PolicyMode,SafetyMode,ScenarioMode,FaultSchedule,MissionSuccess,MinimumSeparation,TrackedMinimumSeparation,ViolationFraction,FinalGoalError,PathLength,ControlEffort,CBFInterventionRate,MaximumSlack,FallbackCount,StalePacketFraction,MeanGraphNodes,MeanGraphEdges,MeanTopGATScore,MaximumMotorSpeed,RunSucceeded,ErrorMessage
P0_S0_SC1_F0,0,0,1,0,0,-0.0965917038501697,-0.29,0.026328945175804,0.125386380086464,9.99967311512894,8.49817881150263,0.410981697171381,20,8,0.0499168053244592,7.1328903654485,8.83388704318937,0.618668048559233,558.492386647536,1,
P0_S1_SC1_F0,0,1,1,0,0,0.198206244511513,-0.29,0,0.408707533134314,8.92047574195963,12.659176471886,0.427620632279534,20,17,0.0499168053244592,7.28239202657807,9.04651162790698,0.58560033220931,558.278776019524,1,
P1_S0_SC1_F0,1,0,1,0,0,-0.186824294619766,-0.3497032052338,0.0689885019163473,1.68862365633516,14.9025614203513,20.9486999268996,0.435940099833611,20,1,0.0499168053244592,7.1063122923588,10.4983388704319,0.628986325965154,553.246099057043,1,
P1_S1_SC1_F0,1,1,1,0,0,0.168495255246554,-0.332300106565551,0,0.445791188525607,10.2790581365593,17.4953989708352,0.40765391014975,20,18,0.0499168053244592,6.91029900332226,8.48837209302326,0.661919019346371,553.939804779076,1,
P0_S0_SC1_F1,0,0,1,1,0,-0.0965917038501697,-0.29,0.026328945175804,0.125386380086464,9.99967311512894,8.49817881150263,0.346089850249584,20,2,0.146422628951747,6.76744186046512,8.06976744186047,0.575625109872044,558.492386647536,1,
P0_S1_SC1_F1,0,1,1,1,0,0.156539552941555,-0.29,0,0.443315027752958,10.4237239577767,15.6280634983464,0.37936772046589,20,18,0.146422628951747,6.74418604651163,7.93355481727575,0.562256038455199,557.92372733019,1,
P1_S0_SC1_F1,1,0,1,1,0,-0.0365199820769909,-0.3497032052338,0.0163306115647392,0.497336525577257,14.7998725958186,25.1098136532706,0.445923460898502,20,12,0.153078202995008,7.40199335548173,11.046511627907,0.628526135935549,555.669281962326,1,
P1_S1_SC1_F1,1,1,1,1,0,0.0962506622091457,-0.332300106565551,0,0.509677928735713,12.05012220419,16.7880248205412,0.329450915141431,20,17,0.149750415973378,6.84053156146179,8.46511627906977,0.583510367573475,552.899026000795,1,
P0_S0_SC2_F0,0,0,2,0,0,-0.222983887375925,-0.317061292594881,0.040826528911848,0.125386380086464,9.99967311512894,8.49817881150263,0.419301164725458,20,7,0.0499168053244592,6.05647840531561,8.1328903654485,0.615588180723173,558.492386647536,1,
P0_S1_SC2_F0,0,1,2,0,0,0.0452122901942517,-0.29,0,0.372059437043566,10.3573615345785,17.223436636223,0.46089850249584,0.0682921473454844,0,0.0499168053244592,5.90697674418605,7.24252491694352,0.604858599712471,559.477117405886,1,
P1_S0_SC2_F0,1,0,2,0,0,0.202381742590467,-0.331536382779054,0,1.10734207684662,15.7489088575443,27.3757119963755,0.547420965058236,20,13,0.0499168053244592,6.39867109634551,10.3986710963455,0.699945148033449,551.771288514428,1,
P1_S1_SC2_F0,1,1,2,0,0,0.104885204962102,-0.319451588668485,0,1.34177643491455,14.119174013642,28.5123646988938,0.198003327787022,0.0688507977772188,0,0.0499168053244592,5.64119601328904,6.80398671096346,0.617207455926802,548.605964129473,1,
P0_S0_SC2_F1,0,0,2,1,0,-0.222983887375925,-0.317210352210358,0.040826528911848,0.125386380086464,9.99967311512894,8.49817881150263,0.356073211314476,20,3,0.148086522462562,5.6312292358804,7.30232558139535,0.572655872084496,558.492386647536,1,
P0_S1_SC2_F1,0,1,2,1,0,0.172022141671323,-0.29,0,0.387072192088724,11.5786607253386,23.5274245873907,0.400998336106489,0.0682921473454844,0,0.148086522462562,5.64451827242525,6.7641196013289,0.542564501080395,559.75662915319,1,
